article_number,Current_Turn,Previous_Turns,Type_of_Thought/Belief
517,A: I feel like making a mistake means I’m not smart enough.,"A: I'm terrified of doing the presentation wrong... B: Everyone makes mistakes, it's normal.",Intermediate Belief
518,"A: It's too much, I feel overwhelmed and I'm convinced I can't handle my tasks.","A: There’s just so much to do right now at work... B: You've managed tough situations before, right?",Automatic Thought
519,"A: Every time I make a mistake, it proves I'm not clever enough.","A: I messed up the presentation today... B: Everyone makes mistakes, though.",Automatic Thought
520,B: Seems like you generalize a single error to mean you're inadequate overall.,"A: I forgot one answer during my interview, and now I feel like I'm totally incompetent... B: Is it just forgetting that question or is it a trend you've noticed?",Intermediate Belief
521,"A: I can't shake the feeling that if they don't laugh at my jokes, they don't like me as a person.","B: Did your friends enjoy the dinner party you hosted? A: They seemed to, but they found someone else's stories funnier than mine.",Automatic Thought
522,"A: If I make one more mistake at work, I’m sure they’re going to let me go.","B: You’ve been really stressed about work lately. A: Yes, I’ve been having a hard time keeping up.",Intermediate Belief
523,"A: Even when I'm on time, I feel like I'm always one step behind everyone else.","A: Traffic was terrible today, as usual I got to work late. B: But you left early, right?",Intermediate Belief
524,"A: Every time my phone rings, I assume it's bad news.","A: I get so anxious when I hear my phone, I can't ignore it. B: Has there been a lot of bad news lately?",Automatic Thought
525,"A: If I don’t succeed in this project, it will show I can never do anything right.",A: I feel like there's so much riding on getting this right... B: Is it based on past experiences where things didn't go as planned?,Intermediate Belief
526,A: Loving relationships are just not in the cards for me. I'm destined to be alone.,A: I had another date last night and it was another disaster... B: Do you often feel that things won’t work out for you in love?,Core Belief
527,"A: Whenever I get one thing wrong, it feels like everything is crashing down around me.","A: I just got some feedback on my work, and there was a mistake in it... B: Everyone makes mistakes, it's not the end of the world.",Automatic Thought
528,"A: I need to be the person who has all the answers, otherwise, I'm worthless.","A: I felt so embarrassed yesterday; I couldn't answer a question during the meeting... B: But it's normal not to know everything, right?",Intermediate Belief
529,A: I suppose that no one at work really values my input... they just see me as expendable.,"A: I've been at this job for years, but I still feel undervalued. B: Have you received any feedback from your managers?",Core Belief
530,"A: Life is always going to be a struggle, isn't it? It's like happiness is unattainable.",A: I've been dealing with so many problems one after the other. B: That sounds incredibly tough. Have things always been this way?,Core Belief
531,"A: Every time someone laughs in the office, I feel like they're laughing at me.",A: I just can't shake the feeling of being judged. B: How often do you get this feeling?,Automatic Thought
532,"A: If I don't finish this project perfectly, my career is over.",A: The deadline for the project is coming up and I'm really stressed. B: Do you think you've put in enough effort so far?,Intermediate Belief
533,"A: Whenever I'm at social events, I just freeze up and can't seem to say anything right.",A: I need to attend this networking event next week... B: Are you feeling nervous about it?,Automatic Thought
534,"A: I feel like if I make a mistake at work, my boss will think I'm incompetent.","A: There's this new project I've been assigned, and it's really intimidating... B: But you have a great track record with projects, right?",Intermediate Belief
535,A: Sometimes I feel like I'm a bad person and that's why I can't maintain long-lasting friendships.,A: I had another argument with my friend yesterday... B: Has it been happening often?,Core Belief
536,"A: I'm just inherently unlikable, which is why people always leave.",A: I don't have many friends left... B: Do you have any idea why that could be?,Core Belief
537,"A: Sometimes I feel like if I can't do something perfectly, it's a total failure.",A: I've been working on this project for weeks... B: But haven't you made a lot of progress?,Intermediate Belief
538,"A: I guess it's that when others don't agree with me, I feel they are judging me poorly.",A: I find it hard to speak up in meetings... B: Do you worry about what others think of your ideas?,Intermediate Belief
539,"A: If I can’t make everyone happy, then I’m a complete failure.",A: I just don't understand why my friends got upset when I suggested a different restaurant... B: Sounds like you were just offering a new option.,Intermediate Belief
540,"A: This always happens to me; I make one small mistake, and everything goes wrong.",A: I'm so frustrated because I miscalculated the budget for this month... B: Is there anything you can do to adjust it now?,Automatic Thought
541,"A: Every time I approach my manager, I feel like I’m going to be reprimanded. It's been this way at every job.","A: Work has been really stressful lately... B: Is it project related, or is it something else?",Intermediate Belief
